nfev b          stx          sty          stp           fp           dp|case
   1 0            0            0          0.1     0.897472   -0.0221885|  u2
   2 0          0.1            0          0.5     0.488573    -0.299964|  u2
   3 0          0.5            0          2.1      1.10253    0.0221885|  u1
   4 1          0.5          2.1     0.651314     0.361742     -1.58345|  u2
   5 1     0.651314          2.1     0.945938    0.0699882    -0.832241|  u2
   6 1     0.945938          2.1      1.52297     0.509833      1.57661|  u1
   7 1     0.945938      1.52297      1.05758    0.0725505     0.627615|  u1
   8 1     0.945938      1.05758     0.995327  -0.00941091    -0.746836|  u2
   9 1     0.995327      1.05758      1.00186    -0.010884     0.297771|  u3
  10 1      1.00186     0.995327     0.999988   -0.0111603  -0.00192975|  u3
  11 1     0.999988      1.00186     0.999994   -0.0111603 -0.000999249|  t1
